model,calibration,auc,ece,mce,brier,reliability,resolution,uncertainty
RF (class_weight=balanced),none,0.9148,0.041,0.1122,0.0949,0.00414,0.086367,0.177061
RF (class_weight=balanced),isotonic,0.899,0.0347,0.0798,0.1046,0.008235,0.079188,0.177061
RF (class_weight=balanced),sigmoid,0.8901,0.0685,0.1327,0.1061,0.004614,0.073353,0.177061
