alpha,nominal,variant,coverage,mean_width,median_width,spearman_width_err
0.2,0.8,uncalibrated (raw quantiles),0.4543795620437956,0.1565783471638984,0.08813017665215778,0.43700301583032986
0.2,0.8,CQR global,0.7864963503649635,0.2240238299754654,0.1575178232969982,0.4479663131478083
0.2,0.8,"CQR global (clipped [0,1])",0.7864963503649635,0.22225310822812241,0.1575178232969982,0.44866166923232353
0.2,0.8,Mondrian (per-family),0.791970802919708,0.25582169665072035,0.18959274956550037,0.33457863962974266
0.2,0.8,"Mondrian (clipped [0,1])",0.791970802919708,0.2469620025000463,0.18669851783328523,0.3611734746642323
0.1,0.9,uncalibrated (raw quantiles),0.6386861313868614,0.23033041467614282,0.1516729556103268,0.48899734231683567
0.1,0.9,CQR global,0.8704379562043796,0.3115362719571161,0.2348013409995498,0.49447962667195183
0.1,0.9,"CQR global (clipped [0,1])",0.8704379562043796,0.3087592780898341,0.2348013409995498,0.4971445263641387
0.1,0.9,Mondrian (per-family),0.8941605839416058,0.4142140766390811,0.31124546369974193,0.35037553676626026
0.1,0.9,"Mondrian (clipped [0,1])",0.8941605839416058,0.37623813123168437,0.2954669217006312,0.3973237385437099
