subject,organ,accept,dice,iou,tp,fp,fn,pred_vox,gt_vox,status,num_voxels,volume_mm3,is_empty,centroid_x_rel,centroid_y_rel,centroid_z_rel,bbox_x_rel,bbox_y_rel,bbox_z_rel,bbox_volume_mm3,mask_to_bbox_ratio,num_components,largest_component_fraction,touches_boundary,boundary_fraction,mean_HU,median_HU,std_HU,p05_HU,p95_HU,orig_axcodes
s1223,vertebrae_T3,0,0.2138,0.1197,950,4764,2221,5714,3171,low_dice,5714,19284.75,0,0.498,0.2971,0.8949,0.1533,0.3067,0.0632,167670.02,0.115,2,0.9998,0,0.0,343.36,280.0,202.26,128.0,752.0,RAS
s1223,vertebrae_T4,0,0.1206,0.0642,692,5350,4740,6042,5432,low_dice,6042,20391.75,0,0.5057,0.2607,0.8644,0.1494,0.32,0.0656,176904.02,0.1153,3,0.9992,0,0.0,345.65,276.0,225.59,143.0,743.95,RAS
s1223,vertebrae_T5,0,0.2783,0.1617,1971,4934,5288,6905,7259,low_dice,6905,23304.38,0,0.5111,0.2252,0.8311,0.1494,0.36,0.0609,184801.52,0.1261,3,0.991,1,0.0,335.9,277.0,185.55,148.0,700.0,RAS
s1223,vertebrae_T6,0,0.3038,0.1791,1647,1695,5852,3342,7499,low_dice,3342,11279.25,0,0.5052,0.207,0.8044,0.1418,0.3667,0.0867,254120.64,0.0444,13,0.8878,1,0.0012,340.05,271.0,209.46,149.0,729.95,RAS
s1223,vertebrae_T7,0,0.4125,0.2598,3646,1320,9067,4966,12713,low_dice,4966,16760.25,0,0.5168,0.1741,0.7859,0.1533,0.3333,0.1124,324000.03,0.0517,10,0.9287,1,0.0,373.42,312.0,207.63,162.0,757.75,RAS
s1223,vertebrae_T8,0,0.6074,0.4362,7225,7607,1732,14832,8957,ok,14832,50058.0,0,0.51,0.1872,0.7398,0.1571,0.3333,0.1194,352856.28,0.1419,1,1.0,1,0.0009,325.34,264.0,181.73,144.0,695.0,RAS
s1223,vertebrae_T9,0,0.9108,0.8362,9431,1755,93,11186,9524,ok,11186,37752.75,0,0.5018,0.1798,0.6908,0.1494,0.3267,0.1194,328930.91,0.1148,2,0.8549,1,0.0021,336.29,276.0,188.06,143.0,729.0,RAS
s1106,aorta,1,0.9917,0.9835,31922,427,110,32349,32032,ok,32349,109177.88,0,0.6041,0.2793,0.6094,0.4818,0.5727,1.0,1036759.5,0.1053,2,0.5038,1,0.0413,434.47,466.0,102.33,178.0,528.0,RAS
s1106,atrial_appendage_left,1,0.9748,0.9509,1374,54,17,1428,1391,ok,1428,4819.5,0,0.4744,0.3431,0.8373,0.1818,0.1455,0.1522,15120.0,0.3187,1,1.0,0,0.0,333.18,383.0,141.0,62.35,494.0,RAS
s1106,colon,1,0.9518,0.908,2854,247,42,3101,2896,ok,3101,10465.88,0,0.0428,0.4827,0.0636,0.4818,0.5818,0.1848,194616.0,0.0538,3,0.9871,1,0.1706,-463.06,-320.0,402.75,-990.0,25.0,RAS
s1106,costal_cartilages,0,0.913,0.84,9415,1195,599,10610,10014,ok,10610,35808.75,0,0.5679,0.9172,0.644,0.8818,0.2182,1.0,722844.0,0.0495,21,0.2303,1,0.0752,100.28,95.0,47.22,36.0,178.55,RAS
s1106,esophagus,1,0.9617,0.9262,7121,186,381,7307,7502,ok,7307,24661.12,0,0.5818,0.2088,0.4494,0.1727,0.4,1.0,259578.0,0.095,1,1.0,1,0.0123,-5.15,34.0,171.44,-331.1,113.0,RAS
s1106,heart,1,0.975,0.9512,207627,3191,7453,210818,215080,ok,210818,711510.75,0,0.5107,0.5451,0.5257,0.8909,0.8091,0.8478,2296066.5,0.3099,6,1.0,1,0.0044,184.43,128.0,141.78,31.0,453.0,RAS
