model,calibration,auc,ece,mce,brier,reliability,resolution,uncertainty
RF (class_weight=balanced),isotonic,0.8662279041722352,0.012919569218248996,0.024784419550242853,0.1186405141126663,0.0003328633037702119,0.07106091033244846,0.18993412921645123
RF (no class weight),isotonic,0.867960136151019,0.014048965923965174,0.02276951135702232,0.11773112410334062,0.0002625784509352203,0.07209015282178845,0.18993412921645123
RF (no class weight),sigmoid,0.8692339416972936,0.02327698588074996,0.054831517777045646,0.11784374682450675,0.0008403374789182169,0.071615209225099,0.18993412921645123
RF (class_weight=balanced),sigmoid,0.8682172464918143,0.02417612670946315,0.05514353453864562,0.11957878568350848,0.0016330335074176978,0.07140037951388226,0.18993412921645123
RF (no class weight),none,0.8705017110236384,0.024841634183867218,0.06827857439733998,0.11806336858784054,0.0012582559294998332,0.0726609007663953,0.18993412921645123
RF (class_weight=balanced),none,0.8692760320957233,0.02859147404590927,0.06833665688168167,0.11968556170995376,0.0012806259828306342,0.07067067226357608,0.18993412921645123
