model,calibration,auc,ece,mce,brier,reliability,resolution,uncertainty
RF (class_weight=balanced),none,0.9125,0.0204,0.0661,0.0794,0.00137,0.063246,0.141859
RF (class_weight=balanced),isotonic,0.8866,0.0347,0.103,0.0852,0.00348,0.058286,0.141859
RF (class_weight=balanced),sigmoid,0.8919,0.0556,0.1508,0.0849,0.005579,0.061058,0.141859
