model,n,accept_rate,auc,auc_ci_lo,auc_ci_hi,pr_auc_accept,pr_auc_reject,minority_class,pr_auc_minority
pred_iou_RandomForest,929,0.1712,0.9132,0.8932,0.9348,0.7541,0.9799,accept,0.7541
pred_iou_HistGB,929,0.1712,0.8951,0.8707,0.9221,0.6668,0.9762,accept,0.6668
organ-rate_baseline,929,0.1712,0.818,0.7679,0.8694,0.5303,0.9388,accept,0.5303
