model,calibration,auc,ece,mce,brier,reliability,resolution,uncertainty
RF (class_weight=balanced),none,0.9223,0.0293,0.0786,0.0776,0.003154,0.066499,0.141859
RF (class_weight=balanced),isotonic,0.8964,0.0511,0.1272,0.0815,0.005469,0.065379,0.141859
RF (class_weight=balanced),sigmoid,0.8983,0.0478,0.1602,0.0819,0.004855,0.064019,0.141859
