IoU Accept Threshold Tested (iou_threshold),Accept Rate (accept_rate),Area Under ROC Curve (AUC),PR-AUC for Reject Class (pr_auc_reject),Mean Within-Group AUC (within_organ_auc),Number of Groups in Within-Group AUC (n_organs_within)
0.7,0.9418773311230833,0.9153646698827128,0.5479013112897569,0.8960549621286518,45
0.75,0.9299627020306672,0.9107777709658367,0.5630690791875502,0.8858376383177583,52
0.8,0.9082055532532117,0.9044099431983514,0.60907421618805,0.8601628986561839,67
0.85,0.863966017405719,0.8998157109981664,0.6572313572057922,0.8356078249002227,85
0.9,0.7746581019477828,0.9001036435105972,0.7628458513780733,0.8086432415304686,93
0.95,0.5071487774554496,0.8988586681462702,0.904274085046477,0.7282427769274632,96
