model,calibration,auc,ece,mce,brier,reliability,resolution,uncertainty
RF (class_weight=balanced),none,0.9001,0.0274,0.0515,0.0981,0.001095,0.076968,0.174563
RF (class_weight=balanced),isotonic,0.8932,0.0099,0.0255,0.0991,0.000156,0.075108,0.174563
RF (class_weight=balanced),sigmoid,0.8936,0.0192,0.0495,0.0992,0.000614,0.075409,0.174563
