alpha,nominal,variant,coverage,mean_width,median_width,spearman_width_err
0.2,0.8,uncalibrated (raw quantiles),0.4908503767491927,0.23560419698069088,0.21196265990136348,0.4307444425134067
0.2,0.8,CQR global,0.7890204520990313,0.37679987336357906,0.35266318857179135,0.3864157776481194
0.2,0.8,"CQR global (clipped [0,1])",0.7890204520990313,0.3699176586203017,0.34805497860974177,0.4045893669736204
0.2,0.8,Mondrian (per-family),0.7868675995694295,0.4210719979877896,0.3974367289705846,0.3229553480973264
0.2,0.8,"Mondrian (clipped [0,1])",0.7868675995694295,0.3991323346139242,0.37271916818655715,0.3671738364157127
0.1,0.9,uncalibrated (raw quantiles),0.6781485468245425,0.47668564209948333,0.43300848346609133,0.17316785502226312
0.1,0.9,CQR global,0.9031216361679225,0.6070222233463051,0.5985500069524219,0.1895789003263633
0.1,0.9,"CQR global (clipped [0,1])",0.9031216361679225,0.5910531124615127,0.5906361921949634,0.19474677763300946
0.1,0.9,Mondrian (per-family),0.9138858988159311,0.7052418256919615,0.7357632760447751,0.1670438225812562
0.1,0.9,"Mondrian (clipped [0,1])",0.9138858988159311,0.646240769428265,0.6737744093903463,0.1927370928239657
