run,n,subjects,accept_rate,direct_auc_balanced,direct_auc_unbalanced,pr_auc_accept,pr_auc_reject,minority_class
"CT  (val, genuinely held out)",4017,57,0.7450833955688324,0.8701503051390744,0.8701180032053959,0.9394161453133661,0.6977565441471765,reject
"MRI (dev subset, WITH intensity) - IN-SAMPLE for TS",548,38,0.22992700729927007,0.9102347099977431,0.9081095313322801,0.7815725724731509,0.9733431623618187,accept
"MRI (dev subset, NO intensity) - intensity uncalibrated on MRI",548,38,0.22992700729927007,0.9148423982547206,0.9157075152335816,0.7719428560224701,0.9722305987449917,accept
